feature,beta_mean,beta_std,beta_lower,beta_upper,significant
industry_Model,-1.6540166139602661,0.236507385969162,-2.1175710904598235,-1.1904621374607087,True
industry_Racing Driver,0.8133872151374817,0.774881899356842,-0.7053813076019286,2.3321557378768922,False
industry_Entrepreneur,-0.7529919743537903,0.40050962567329407,-1.5379908406734466,0.032006891965866036,False
industry_Fitness Instructor,0.7457166314125061,0.6712247133255005,-0.5698838067054748,2.061317069530487,False
industry_Con artist,-0.7400074601173401,0.5485274791717529,-1.815121319293976,0.33510639905929573,False
industry_Motivational Speaker,0.7378770709037781,0.8549959063529968,-0.9379149055480958,2.413669047355652,False
industry_Politician,0.6600297093391418,0.4157464802265167,-0.15483339190483092,1.4748928105831145,False
industry_Military,0.49202316999435425,0.9137697815895081,-1.2989656019210816,2.2830119419097903,False
homecountry_is_us,0.4328130781650543,0.15714281797409058,0.12481315493583678,0.7408130013942719,True
industry_Athlete,0.41810327768325806,0.16617350280284882,0.0924032121896744,0.7438033431768417,True
industry_News Anchor,-0.4137546718120575,0.4708576500415802,-1.3366356658935548,0.5091263222694397,False
industry_Social Media Personality,-0.4010542929172516,0.3613995313644409,-1.1093973743915557,0.30728878855705255,False
age_z,-0.39593419432640076,0.0673958957195282,-0.528030149936676,-0.2638382387161255,True
industry_Beauty Pagent,-0.36495697498321533,0.9022790193557739,-2.133423852920532,1.4035099029541016,False
industry_Musician,0.3458773195743561,0.9849151372909546,-1.584556349515915,2.276310988664627,False
industry_Radio Personality,-0.3130658268928528,0.7861707210540771,-1.8539604401588439,1.2278287863731383,False
industry_Producer,0.27631425857543945,0.7906796336174011,-1.2734178233146667,1.8260463404655456,False
industry_Conservationist,0.2556699812412262,0.8196795582771301,-1.3509019529819488,1.8622419154644012,False
industry_Social media personality,0.23982396721839905,0.9337441325187683,-1.5903145325183867,2.069962466955185,False
industry_Comedian,0.21214108169078827,0.33554694056510925,-0.44553092181682585,0.8698130851984024,False
industry_Fashion Designer,-0.1891983598470688,0.9167287945747375,-1.9859867972135543,1.6075900775194167,False
industry_Actor/Actress,0.07529682666063309,0.12606970965862274,-0.17179980427026748,0.32239345759153365,False
industry_Sports Broadcaster,-0.06358488649129868,0.7326103448867798,-1.499501162469387,1.3723313894867897,False
industry_Journalist,-0.04638349264860153,0.9707778096199036,-1.9491079995036125,1.8563410142064094,False
industry_Astronaut,-0.03891196846961975,1.002634882926941,-2.0040763390064242,1.9262524020671845,False
industry_TV Personality,0.038447845727205276,0.12661565840244293,-0.20971884474158287,0.2866145361959934,False
industry_Magician,-0.025759968906641006,0.9946688413619995,-1.97531089797616,1.923790960162878,False
industry_Singer/Rapper,0.018149258568882942,0.17838072776794434,-0.33147696785628794,0.3677754849940538,False
