season,week,margin_mean,margin_q05,margin_q95
1,1,0.039179793596202744,0.0029774685230471954,0.08727015148796344
1,2,0.022813509418224943,0.0009392153860185673,0.08321210758758162
1,3,0.08292635418179024,0.002882140578171572,0.22634527467406837
1,4,0.2309489688650188,0.03429935184357806,0.4408333491827188
1,5,0.5198009606482938,0.027832486903123795,0.9352899877287894
1,6,nan,nan,nan
1,7,nan,nan,nan
1,8,nan,nan,nan
1,9,nan,nan,nan
1,10,nan,nan,nan
1,11,nan,nan,nan
2,1,0.002874225473636148,5.402048328228132e-05,0.00897349003308753
2,2,0.0026084927196004084,6.890329477446944e-05,0.009223306137674539
2,3,0.007635351492624406,0.00014641839588764582,0.03605339615679565
2,4,0.014570472814404448,0.0008073190923146138,0.04494383518301018
2,5,0.01451782292760322,0.0004594823412254146,0.05341425139825391
2,6,0.03699397354567151,0.0023006544069718803,0.11302289150950974
2,7,0.08074218521726323,0.0021564633505455014,0.22995586372743795
2,8,0.21778119531201953,0.052832987361437496,0.45918097147050013
2,9,0.00541204955115637,0.000434613551988966,0.013360201641793426
2,10,nan,nan,nan
2,11,nan,nan,nan
3,1,0.0024883313280759044,9.9119969452164e-05,0.008018968315097505
3,2,0.0022736646097279993,7.23248485075552e-05,0.008275228386235067
3,3,0.009195531418686164,0.0005005808839734068,0.025081240226333693
3,4,0.007268843731687493,0.0005829978007288642,0.023396848838086112
3,5,0.011651740531562935,0.0004275421352495646,0.03671536465610163
3,6,0.005153991430832127,8.913987603609286e-12,0.02979840764092956
3,7,0.048449302955971836,0.0011514908218605861,0.14435989116333825
3,8,0.10374370265522785,0.007164520157316568,0.23129724990645123
3,9,0.1801704718047451,0.015844467569009493,0.4132004752017017
3,10,0.7692987259547972,0.058754330434061204,0.9999999810463231
3,11,nan,nan,nan
4,1,0.008314172478566818,6.214769075293669e-05,0.04852364336547633
4,2,0.0023508302644783597,6.093264121937103e-05,0.009784693716554788
4,3,0.005031219607453563,0.000328831809900132,0.01801634444347649
4,4,0.005230367866263479,0.00012962530307040476,0.019051257317792177
4,5,0.01093742010039493,0.00020538879722022818,0.03721458744953743
4,6,0.02654704064226548,0.0008130908818246643,0.08559710102128261
4,7,0.051899907935812443,0.004061044757818971,0.12482566816196237
4,8,0.08588718770053996,0.01090258105170319,0.22791930276590575
4,9,0.170929343576035,0.013843546065821482,0.3778062942251535
4,10,0.6421357336782251,0.06078205654784387,0.9999997793242471
4,11,nan,nan,nan
5,1,0.002416189655539193,0.00011556810322585278,0.008263049180447943
5,2,0.0024612611233420334,0.00013672235391583716,0.00917746105295885
5,3,0.005601938450414129,0.00023543125006258788,0.018422405172128464
5,4,0.007131525843566973,0.00012629936586383632,0.02340710643886079
5,5,0.009722418287576447,0.00046057167171905257,0.03438823626392831
5,6,0.009609013158046617,0.00021577771590260286,0.03520440379261365
5,7,0.02398249262624014,0.0005443260475418848,0.08200355206313142
5,8,0.025124725803928206,0.0008908876453226453,0.08001651717711193
5,9,0.07071936012132371,0.0028562596133116015,0.1959068098756045
5,10,0.2708108965634124,0.036515045027158986,0.454704228113461
5,11,0.0051469519202002175,0.0004724894765315124,0.011502143073124197
6,1,0.01781379466930945,0.00127800966706483,0.04062710569950271
6,2,0.004976219181129459,0.00012468377154861295,0.01612482898332794
6,3,0.004835350371261967,3.973551626623717e-11,0.019400358664080672
6,4,0.006427573992797192,0.0001627790793239506,0.02140490529686683
6,5,0.013269773868715789,0.0005901436523711142,0.05117788005076024
6,6,0.02504619188603506,0.0009478375893102188,0.08937759265615806
6,7,0.03723044012843175,0.0008858601901376732,0.11318337401331001
6,8,0.0803457118347042,0.0035854128872772647,0.23198865239635488
6,9,0.20600320297686037,0.016234784202928888,0.43685707739840635
6,10,0.554862366661096,0.07238236175701412,0.9999999455470351
6,11,nan,nan,nan
7,1,0.0025257154237697415,0.00014559570876223894,0.009227993527610166
7,2,0.0012136743954350335,7.645775679243628e-12,0.0066593836775947594
7,3,0.00030262206645119324,2.0839482917089927e-12,0.001801338317075657
7,4,0.003297036441721834,9.92368895391671e-12,0.014217770503878424
7,5,0.0044121259333855,2.9662372558192376e-11,0.018080715149801682
7,6,0.010276889823184669,5.731078112081179e-11,0.037616343871106274
7,7,0.026655172991049893,0.0018331455273902888,0.08774057195584813
7,8,0.04126392953452505,0.0020730907797940307,0.122165576564621
7,9,0.09297303836129385,0.005298329944207312,0.2352203214534564
7,10,0.17187907501230362,0.016165818237866114,0.4095929360910605
7,11,0.005516453225686506,0.0007021585705032641,0.012245612682112262
8,1,0.012885036351015546,0.0004473120036963478,0.03194749325643157
