season,mode,mechanism,winner_idx,winner_prob,topk_consensus,topk_prob,spearman_skill,spearman_pop,divergence
25,A,R,2,0.825,1|2|8,0.365,0.7596585299272636,0.9362569961780559,0.898125
26,A,R,9,0.425,6|8|9,0.22,0.6028811613267376,0.8497753512034016,0.955
27,A,R,4,0.47,1|4|11,0.295,0.30129590911550047,0.8611878408027485,0.9285714285714286
28,A,R,9,0.46,2|9|11,0.21,0.5319622868944316,0.9455244755244755,0.7157142857142857
29,A,R,-1,nan,8|10|11,0.43,0.7054600078782446,0.9194173160724955,0.6105555555555555
30,A,R,6,0.36,6|7|14,0.245,0.3309143537510367,0.9079620929869435,0.791875
31,A,R,-1,nan,6|14|15,0.225,0.4919767653941006,0.8921801038777317,0.7661111111111111
32,A,R,-1,nan,4|8|12,0.61,0.4026750062323633,0.9298986877107654,0.68
33,A,R,7,0.35,5|6|7,0.175,0.5793548154570295,0.9322487165057229,0.775
34,A,R,-1,nan,6|10|13,0.25,0.642094068618757,0.9385044792874343,0.9225
